	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
1	34615	Ixodes persulcatus	KAG0423773.1	1330.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	3.7e-51	188.9	9.0	2.0	2.0	1.3999999999999997e-42	8.8e-36	138.1	0.6	498.0	573.0	386.0	461.0	386.0	478.0	0.96	hypothetical protein HPB47_000465 [Ixodes persulcatus]	True	Eukaryota	Metazoa	Arthropoda	Ixodida	Ixodes persulcatus	pink
0	6945	Ixodes scapularis	XP_029821973.3																		303.0	957.0		XP_029821973.3 uncharacterized protein LOC115308258 isoform X1 [Ixodes scapularis]	True	Eukaryota	Metazoa	Arthropoda	Ixodida	Ixodes scapularis	pink
5	6087	Hydra vulgaris	XP_047135855.1	1025.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.799999999999999e-120	417.9	19.1	1.0	1.0	3.799999999999999e-127	2.4e-120	417.5	19.1	8.0	651.0	285.0	940.0	275.0	943.0	0.85	uncharacterized protein LOC105847327 [Hydra vulgaris]	False	Eukaryota	Metazoa	Cnidaria	Anthoathecata	Hydra vulgaris	orange
34	1913989	Gammaproteobacteria bacterium	MCC2666636.1	1308.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	7.099999999999999e-64	230.9	0.1	1.0	1.0	1.7999999999999994e-70	1.0999999999999998e-63	230.2	0.1	8.0	645.0	18.0	711.0	15.0	724.0	0.77	cobalamin biosynthesis protein CobT [Gammaproteobacteria bacterium]	False	Bacteria		Pseudomonadota		Gammaproteobacteria bacterium	blue
15	189513	Chrysoperla carnea	XP_044739062.1	474.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	9.999999999999998e-64	230.4	13.2	1.0	1.0	1.2999999999999996e-69	8.299999999999999e-63	227.4	13.2	248.0	646.0	7.0	441.0	1.0	449.0	0.8	uncharacterized protein LOC123300542 [Chrysoperla carnea]	False	Eukaryota	Metazoa	Arthropoda	Neuroptera	Chrysoperla carnea	pink
6	7425	Nasonia vitripennis	XP_031784615.1	257.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2e-57	209.6	3.6	1.0	1.0	3.999999999999999e-64	2.5e-57	209.3	3.6	389.0	644.0	4.0	251.0	1.0	253.0	0.91	uncharacterized protein LOC100679377 [Nasonia vitripennis]	False	Eukaryota	Metazoa	Arthropoda	Hymenoptera	Nasonia vitripennis	pink
33	1895716	Candidatus Amoebophilus sp. 36-38	OJW67106.1	862.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	3.399999999999999e-55	202.2	0.7	1.0	1.0	7.5999999999999975e-62	4.899999999999999e-55	201.7	0.7	279.0	645.0	12.0	386.0	3.0	395.0	0.85	MAG: hypothetical protein BGO68_00010 [Candidatus Amoebophilus sp. 36-38]	False	Bacteria		Bacteroidota	Cytophagales	Candidatus Amoebophilus sp. 36-38	blue
11	45076	Legionella worsleiensis	WP_058494284.1	682.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	8.599999999999999e-47	174.5	1.9	1.0	1.0	1.8e-53	1.1999999999999999e-46	174.0	1.9	8.0	642.0	22.0	675.0	19.0	679.0	0.78	hypothetical protein [Legionella worsleiensis]	False	Bacteria		Pseudomonadota	Legionellales	Legionella worsleiensis	blue
50	2793102	Legionella bononiensis	WP_203109741.1	655.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.4e-45	170.5	0.6	1.0	1.0	3.3e-52	2.1e-45	169.9	0.6	9.0	642.0	23.0	653.0	18.0	655.0	0.77	hypothetical protein [Legionella bononiensis]	False	Bacteria		Pseudomonadota	Legionellales	Legionella bononiensis	blue
46	2498107	Legionella sp. km535	WP_127110617.1	655.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	8.1e-45	167.9	0.4	1.0	1.0	2.6e-51	1.6000000000000002e-44	166.9	0.4	9.0	642.0	23.0	653.0	19.0	655.0	0.77	hypothetical protein [Legionella sp. km535]	False	Bacteria		Pseudomonadota	Legionellales	Legionella sp. km535	blue
10	45072	Legionella quateirensis	WP_058474246.1	655.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	1.4999999999999996e-43	163.7	0.5	1.0	1.0	5.5e-50	3.5e-43	162.6	0.5	9.0	642.0	23.0	653.0	19.0	655.0	0.79	hypothetical protein [Legionella quateirensis]	False	Bacteria		Pseudomonadota	Legionellales	ATCC 49507	blue
8	39962	Legionella moravica	WP_028385150.1	655.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.2e-43	163.2	0.2	1.0	1.0	8.1e-50	5.199999999999999e-43	162.0	0.2	9.0	642.0	23.0	653.0	19.0	655.0	0.76	hypothetical protein [Legionella moravica]	False	Bacteria		Pseudomonadota	Legionellales	Legionella moravica	blue
18	343510	Legionella impletisoli	WP_131777410.1	654.0	GCF_016920785.2;XP_029821973.3;HGT_(313,947)	-	654.0	2.7e-43	162.9	0.1	1.0	1.0	3.6e-49	2.3e-42	159.8	0.1	8.0	651.0	7.0	642.0	2.0	644.0	0.79	hypothetical protein [Legionella impletisoli]	False	Bacteria		Pseudomonadota	Legionellales	Legionella impletisoli	blue
