	taxid	species	target_name	tlen	query name	accession	qlen	E-value	score1	bias1	#	of	c-Evalue	i-Evalue	score	bias	hmmfrom	hmmto	alifrom	alito	envfrom	envto	acc	description of target	chimera	superkingdom	kingdom	phylum	order	sci_name	color
0	161013.0	Thrips palmi	XP_034233350.1																		7.0	205.0		XP_034233350.1 endoglucanase-like [Thrips palmi]	True	Eukaryota	Metazoa	Arthropoda	Thysanoptera	Thrips palmi	pink
236	133901.0	Frankliniella occidentalis	XP_026289264.1	236.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4e-96	334.7	15.0	1.0	1.0	3.1000000000000004e-101	4.899999999999999e-96	334.5	15.0	2.0	182.0	10.0	193.0	9.0	193.0	0.98	endoglucanase isoform X2 [Frankliniella occidentalis]	False	Eukaryota	Metazoa	Arthropoda	Thysanoptera	Frankliniella occidentalis	pink
400	439358.0	Megalurothrips usitatus	KAJ1518777.1	221.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.4e-94	329.8	15.0	1.0	1.0	1.1e-99	1.6e-94	329.5	15.0	9.0	182.0	4.0	177.0	1.0	177.0	0.98	hypothetical protein ONE63_011613 [Megalurothrips usitatus]	False	Eukaryota	Metazoa	Arthropoda	Thysanoptera	Megalurothrips usitatus	pink
281	187623.0	Cryptopygus antarcticus	D3GDK4.1	225.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.9e-83	292.1	18.6	1.0	1.0	4.2e-88	6.499999999999999e-83	291.7	18.6	4.0	181.0	4.0	180.0	1.0	181.0	0.94	RecName: Full=Endoglucanase; AltName: Full=CaCel; AltName: Full=Cellulase; AltName: Full=Endo-beta-1,4-glucanase; Flags: Precursor [Cryptopygus antarcticus]	False	Eukaryota	Metazoa	Arthropoda	Entomobryomorpha	Cryptopygus antarcticus	pink
37	13706.0	Syncephalastrum racemosum	ABU49185.2	340.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	5.1000000000000005e-67	239.9	13.7	1.0	1.0	7e-72	1.1e-66	238.8	13.7	15.0	182.0	133.0	298.0	126.0	298.0	0.97	endoglucanase [Syncephalastrum racemosum]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Syncephalastrum racemosum	brown
788	1883073.0	Umbelopsis sp. AD052	KAI9285223.1	333.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.5e-66	238.3	21.5	1.0	1.0	9.9e-72	1.5e-66	238.3	21.5	12.0	182.0	124.0	292.0	111.0	292.0	0.96	RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Umbelopsis sp. AD052]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis sp. AD052	brown
607	1263082.0	Lichtheimia corymbifera JMRC:FSU:9682	CDH59676.1	412.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.7e-66	238.2	15.0	1.0	1.0	1.1e-71	1.7e-66	238.2	15.0	15.0	182.0	206.0	371.0	195.0	371.0	0.97	partial [Lichtheimia corymbifera JMRC:FSU:9682]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Lichtheimia corymbifera	brown
467	688661.0	Lichtheimia ornata	KAJ8663728.1	411.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.3e-66	237.7	15.1	1.0	1.0	1.5e-71	2.3e-66	237.7	15.1	15.0	182.0	205.0	370.0	193.0	370.0	0.96	hypothetical protein O0I10_000977 [Lichtheimia ornata]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Absidia ornata A.K. Sarbhoy, 1965	brown
466	688394.0	Lichtheimia ramosa	CDS09500.1	410.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	3.5e-66	237.2	16.3	1.0	1.0	2.2e-71	3.5e-66	237.2	16.3	16.0	182.0	205.0	369.0	191.0	369.0	0.96	hypothetical protein LRAMOSA10860 [Lichtheimia ramosa]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Lichtheimia ramosa	brown
171	91625.0	Umbelopsis isabellina	KAJ2958807.1	331.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	2.2e-66	237.8	17.4	1.0	1.0	2.600000000000001e-71	4e-66	237.0	17.4	13.0	182.0	122.0	289.0	112.0	289.0	0.95	hypothetical protein NQZ79_g5641 [Umbelopsis isabellina]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis isabellina	brown
81	44442.0	Umbelopsis vinacea	KAG2172547.1	347.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	4.6e-66	236.8	20.7	1.0	1.0	3e-71	4.6e-66	236.8	20.7	14.0	182.0	140.0	306.0	125.0	306.0	0.95	hypothetical protein INT44_002562 [Umbelopsis vinacea]	False	Eukaryota	Fungi	Mucoromycota	Umbelopsidales	Umbelopsis vinacea	brown
577	1173061.0	Geotrichum candidum	KAF5102768.1	477.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	8.300000000000004e-66	235.9	14.9	1.0	1.0	5.3e-71	8.300000000000004e-66	235.9	14.9	15.0	182.0	270.0	436.0	261.0	436.0	0.96	hypothetical protein D0Z00_000260 [Geotrichum candidum]	False	Eukaryota	Fungi	Ascomycota	Saccharomycetales	Geotrichum candidum	brown
639	1314789.0	Lichtheimia hyalospora FSU 10163	KAI7876840.1	400.0	GCF_012932325.1;XP_034233350.1;HGT_(17,195)	-	182.0	1.2e-65	235.4	14.9	1.0	1.0	7.6e-71	1.2e-65	235.4	14.9	15.0	182.0	194.0	359.0	182.0	359.0	0.97	endoglucanase [Lichtheimia hyalospora FSU 10163]	False	Eukaryota	Fungi	Mucoromycota	Mucorales	Lichtheimia hyalospora	brown
